"Gene","logFC_Condition","adjP_Condition","logFC_Platform","Ec","Ep","Em","Es","BIOS_Rank"
"GUCA2B",-8.90769137910035,1.28815688985415e-29,NA,1,1,1,1,1
"CDH3",6.48204956612096,2.33738350059624e-31,NA,0.771550182159121,1,1,1,0.94288754553978
"AQP8",-8.40415837770693,6.80252688195952e-19,NA,0.593297001582062,1,1,1,0.898324250395516
"ABCG2",-5.90758560339152,6.72371920976428e-26,NA,0.577858238459458,1,1,1,0.894464559614865
"SLC30A10",-6.89014039389419,1.18809724764758e-21,NA,0.560252027010118,1,1,1,0.89006300675253
"CA1",-7.22464870675203,4.51570376436977e-20,NA,0.543098319784021,1,1,1,0.885774579946005
"GUCA2A",-6.6608464679083,7.09412794501992e-21,NA,0.521521147358093,1,1,1,0.880380286839523
"CLCA4",-9.27661764037223,4.84327690282068e-15,NA,0.516016524472917,1,1,1,0.879004131118229
"SLC4A4",-5.60311619814824,3.30820432142211e-23,NA,0.489463868666813,1,1,1,0.872365967166703
"MS4A12",-8.02548437742713,4.66392730930929e-16,NA,0.478118552166865,1,1,1,0.869529638041716
"GBA3",-4.29153619799469,1.06342658624308e-26,NA,0.433138325167104,1,1,1,0.858284581291776
"CD177",-5.71787284921187,1.92023761362858e-19,NA,0.415862082472302,1,1,1,0.853965520618076
"C2orf88",-4.16068960801278,8.65421409527263e-26,NA,0.405211026222769,1,1,1,0.851302756555692
"CLDN1",3.98068163113138,1.02824673160457e-26,NA,0.40199023445882,1,1,1,0.850497558614705
"INHBA",5.25288674354199,3.31100180571889e-20,NA,0.397625951319409,1,1,1,0.849406487829852
"GCNT2",-4.68702977364822,9.16405604646971e-22,NA,0.383166188230286,1,1,1,0.845791547057572
"CA4",-6.0135083465201,1.05999597429456e-16,NA,0.373290846911318,1,1,1,0.843322711727829
"NR1H4",-4.37759378561301,9.16405604646971e-22,NA,0.357869696895753,1,1,1,0.839467424223938
"TEX11",-3.92279646690258,3.88111623539147e-24,NA,0.356864519524416,1,1,1,0.839216129881104
"FOXQ1",4.81633743752804,1.49426163856559e-19,NA,0.352331883184406,1,1,1,0.838082970796102
