"Gene","BIOS_obs","adjP_obs","Emp_P","Em","Es"
"CA7",0.997540273245417,1.11764815614533e-28,0.0099009900990099,1,1
"BEST4",0.985650456580786,1.11764815614533e-28,0.0099009900990099,1,1
"GUCA2B",0.973561826679617,3.60724430292192e-22,0.0099009900990099,1,1
"KRT80",0.973209175366053,1.11764815614533e-28,0.0099009900990099,1,1
"CA1",0.964382492836753,1.41708152223472e-19,0.0099009900990099,1,1
"SPIB",0.959370393111529,6.00592601001578e-29,0.0099009900990099,1,1
"TMIGD1",0.956476240323366,2.12113132846054e-20,0.0099009900990099,1,1
"OTOP2",0.952540107130543,7.11537423201466e-27,0.0099009900990099,1,1
"AQP8",0.949587124124186,3.95900551847255e-21,0.0099009900990099,1,1
"CLCA4",0.939194890016478,5.94218768401335e-19,0.0099009900990099,1,1
"MYOC",0.910851552327784,9.54226051786691e-22,0.0099009900990099,1,1
"KRT24",0.892810407246054,1.76139754185232e-22,0.0099009900990099,1,1
"INHBA",0.862307710154514,4.19101375452269e-18,0.0099009900990099,1,1
"WNT2",0.86064054456169,1.71979217455646e-18,0.0099009900990099,1,1
"ESM1",0.858239627570804,7.78859055334457e-18,0.0099009900990099,1,1
"ETV4",0.83904108743469,6.00592601001578e-29,0.0099009900990099,1,0.33
"MMP7",0.831667575595378,1.6320208907371e-22,0.0099009900990099,1,0.33
"CLDN1",0.816277689874831,3.29401772334037e-27,0.0099009900990099,1,0.33
"GUCA2A",0.806963225571026,1.91585611931074e-20,0.0099009900990099,1,0.33
"EPHX4",0.800213094824471,3.06185398405777e-26,0.0099009900990099,1,0.33
