"Gene","BIOS","adjP","AUC_train","Em","Es"
"DDX11L1",0.291706031054837,0.506846371611801,0.608024691358025,0,0
"WASH7P",0.292469605272604,0.524408767302055,0.611111111111111,0,0
"MIR6859-1",0.253504688184565,0.720344604646383,0.470679012345679,0,0
"MIR1302-2HG",0.302115336650997,0.117042293827101,0.643518518518518,0,0
"MIR1302-2",0.261538461538462,0.999999999999999,0.5,0,0
"FAM138A",0.268384587265546,0.880615761888588,0.524691358024691,0,0
"OR4F5",0.261538461538462,0.999999999999999,0.5,0,0
"WASH9P",0.318560162926323,0.259272536818867,0.703703703703704,0,0
"LOC729737",0.314279830661344,0.19346077706419,0.685185185185185,0,0
"DDX11L17",0.280568467982314,0.567507576479873,0.567901234567901,0,0
"LOC102723897",0.307955902133463,0.391169118140805,0.666666666666667,0,0
"MIR6859-2",0.237902313616029,0.485115884201524,0.41358024691358,0,0
"LOC112268260",0.307489914468978,0.276373195689856,0.66358024691358,0,0
"OR4F29",0.253893233454325,0.532594703354402,0.472222222222222,0,0
"LOC100132287",0.303052879963259,0.320986234456586,0.648148148148148,0,0
"LOC105378947",0.276966548575225,0.820090554831312,0.555555555555556,0,0
"LOC101928626",0.217657915139736,0.0416089758020963,0.333333333333333,0,0
"MIR12136",0.314813522106898,0.150791708649712,0.685185185185185,0,0
"OR4F16",0.328898193414951,0.115230090402811,0.736111111111111,0,0
"LOC100288069",0.329869769765953,0.0287104191949623,0.737654320987654,0,0
"LINC01409",0.292969913836694,0.532594703354402,0.612654320987654,0,0
"FAM87B",0.312713465746351,0.240801019603768,0.682098765432099,0,0
"LINC00115",0.308972459649282,0.334708640341174,0.669753086419753,0,0
"LINC01128",0.294350228893073,0.374490567641152,0.617283950617284,0,0
"LOC107984850",0.331126758918263,0.048836902516127,0.731481481481481,0,0
"FAM41C",0.321264867766641,0.249778247587318,0.712962962962963,0,0
"LOC284600",0.300911548352098,0.32594550122879,0.637345679012346,0,0
"LINC02593",0.291116892238217,0.413505340888569,0.604938271604938,0,0
"LOC107985728",0.294073629406628,0.281920575236546,0.614197530864198,0,0
"SAMD11",0.288128781650703,0.626229004336262,0.595679012345679,0,0
"NOC2L",0.358802010126649,0.00305463427291556,0.83641975308642,0,0
"KLHL17",0.286443803678139,0.585386136109709,0.589506172839506,0,0
"PLEKHN1",0.637355410721866,0.00208973683642105,0.839506172839506,1,0.33
"PERM1",0.63056196292672,0.00575234564304746,0.833333333333333,1,0.33
"HES4",0.286532068361338,0.574026449591395,0.589506172839506,0,0
"ISG15",0.299019565139497,0.370191534367104,0.632716049382716,0,0
"AGRN",0.356170958558688,0.00406939257118081,0.817901234567901,0,0
"LOC100288175",0.349555231635052,0.0166432290108657,0.799382716049383,0,0
"LOC105378948",0.309927678624443,0.452538441450111,0.672839506172839,0,0
"RNF223",0.271416370529824,0.532594703354402,0.533950617283951,0,0
"C1orf159",0.264957264957265,0.999999999999999,0.512345679012346,0,0
"LINC01342",0.335846579515802,0.0805761664568862,0.756172839506173,0,0
"MIR200B",0.283760683760684,0.999999999999999,0.580246913580247,0,0
"MIR200A",0.292307692307692,0.999999999999999,0.611111111111111,0,0
"MIR429",0.288928922900658,0.877822185238146,0.598765432098765,0,0
"TTLL10-AS1",0.285991476194369,0.755970031937868,0.587962962962963,0,0
"TTLL10",0.295011358362487,0.163773284094858,0.615740740740741,0,0
"TNFRSF18",0.338153760207689,0.101203911288824,0.768518518518518,0,0
"TNFRSF4",0.302998694025135,0.206940806804186,0.645061728395062,0,0
"SDF4",0.3303540603653,0.0166517526038193,0.740740740740741,0,0
"B3GALT6",0.34073716927317,0.0186184454684008,0.777777777777778,0,0
"C1QTNF12",0.62612289595363,0.00270161744903948,0.79320987654321,1,0.33
"UBE2J2",0.30138669355025,0.136164884363436,0.641975308641975,0,0
"LINC01786",0.318677673600327,0.154413634261997,0.700617283950617,0,0
"SCNN1D",0.299050929621744,0.317646283082575,0.632716049382716,0,0
"ACAP3",0.265811965811966,0.999999999999999,0.515432098765432,0,0
"MIR6726",0.292192840944528,0.42290910829622,0.609567901234568,0,0
"SNORD167",0.260696409007806,0.915233751108658,0.496913580246914,0,0
"PUSL1",0.323167565963669,0.0603914151029376,0.716049382716049,0,0
"INTS11",0.278734547985325,0.515337408902538,0.561728395061728,0,0
"MIR6727",0.274472622277295,0.636306568984821,0.546296296296296,0,0
"CPTP",0.379267872944622,0.00031744275509517,0.882716049382716,0,0
"TAS1R3",0.283763768857839,0.979976910068942,0.580246913580247,0,0
"DVL1",0.300412908654761,0.301444127161819,0.638888888888889,0,0
"MIR6808",0.307063337166606,0.282260157999963,0.662037037037037,0,0
"MXRA8",0.300791967694016,0.302581970706842,0.638888888888889,0,0
"AURKAIP1",0.310549727874211,0.147131519854575,0.674382716049383,0,0
"CCNL2",0.276939951368142,0.82505034333304,0.555555555555556,0,0
"MRPL20-AS1",0.275227748918962,0.826233890693057,0.549382716049383,0,0
"MRPL20",0.298854375632276,0.424947677779351,0.634259259259259,0,0
"ANKRD65",0.306610567073912,0.396063681472153,0.660493827160494,0,0
"ANKRD65-AS1",0.275267123574884,0.83335553550567,0.549382716049383,0,0
"TMEM278",0.309279926667112,0.192914898596157,0.66820987654321,0,0
"LINC01770",0.302360908898385,0.413396444577523,0.645061728395062,0,0
"LOC107985729",0.316986338372986,0.127699331005329,0.691358024691358,0,0
"VWA1",0.348704572773704,0.0210113034894528,0.796296296296296,0,0
"ATAD3C",0.57360655451139,0.094293420694533,0.654320987654321,1,0.33
"ATAD3B",0.350913513390255,0.0060266271087997,0.808641975308642,0,0
"ATAD3A",0.372462943317582,0.00134630324322721,0.873456790123457,0,0
"TMEM240",0.280827922405207,0.80434895812127,0.569444444444444,0,0
"SSU72",0.266666666666667,0.999999999999999,0.518518518518518,0,0
"FNDC10",0.350997822840714,0.00968695215507276,0.799382716049383,0,0
"LOC105378586",0.326389450215672,0.0513222562120578,0.720679012345679,0,0
"MIB2",0.307076050694203,0.129210877021302,0.660493827160494,0,0
