"Gene","adjP_Condition","Ec","Ep","Em","Es","Ex","AUC_Microarray","AUC_RNAseq","Ex_train"
"RFC2",5.85356884509612e-09,0.0281038962919786,0.999972438771238,0,0,0.675742574257426,0.910119047619048,0.797839506172839,0.84400826446281
"PTPN21",1.62942900326588e-21,0.167652698555498,0.99998982973778,0,0,0.858910891089109,1,0.912037037037037,1
"CCL5",6.66901933705301e-09,0.0608087953119324,0.999988753066782,1,0.33,0.83005657708628,0.894047619047619,0.907407407407407,0.816115702479339
"EPHB3",0.000683429601816901,0.0149302128984796,0.999980769548266,1,0.33,0.48019801980198,0.848809523809524,0.675925925925926,0.737603305785124
"SCARB1",1.97389648701568e-05,0.0172516176387767,0.999974520718217,0,0,0.287128712871287,0.922619047619048,0.555555555555556,0.865702479338843
"WFDC2",0.00603806266935329,0.0129634603453808,0.999984972200141,1,0.33,0.52970297029703,0.70952380952381,0.70679012345679,0.495867768595041
"SPATA17",0.00203490306032067,0.0136257295932057,0.9999822600731,0,0,0.577050919377652,0.736309523809524,0.91358024691358,0.542355371900827
"MSANTD3",2.89937254604634e-12,0.0479210235446343,0.999977809139907,0,0,0.841584158415842,0.951190476190476,0.901234567901235,0.915289256198347
"TIMD4",0.000297374817640851,0.0219604848828985,0.99998606220446,1,0.33,0.594059405940594,0.814285714285714,0.746913580246914,0.677685950413223
"SLC39A5",0.000968277497568776,0.0137327848402845,0.999980000774916,0,0,0.53960396039604,0.791666666666667,0.712962962962963,0.638429752066116
"ATP6V1E2",1.08677445222686e-14,0.0866223908344758,0.999985999304749,0,0,0.876237623762376,0.952380952380952,0.922839506172839,0.917355371900826
"CILP2",1.92003070127084e-08,0.056112179367873,0.999988437099767,1,0.33,0.66966053748232,0.794047619047619,0.876543209876543,0.642561983471074
"BEST4",8.00913608110033e-32,0.864839229916513,0.999998892546632,1,1,1,1,1,1
"ALG10",0.00309803543329084,0.00697755209249009,0.99996557918207,0,0,0.514851485148515,0.782142857142857,0.697530864197531,0.621900826446281
"GIMAP1",3.340941094221e-09,0.043486541573578,0.999982529122613,0,0,0.801980198019802,0.963095238095238,0.876543209876543,0.935950413223141
"KLK8",0.000715928246136865,0.0208863409971104,0.999987092620832,1,0.33,0.341230551626591,0.589285714285714,0.797839506172839,0.287190082644628
"HOXD4",0.000181014684182719,0.0221102539894236,0.999985170429844,1,0.33,0.576096181046676,0.735714285714286,0.873456790123457,0.541322314049587
"PRSS33",2.91980037464586e-07,0.0794779434448125,0.99999413010074,1,0.33,0.797595473833098,0.873809523809524,0.888888888888889,0.78099173553719
"LEAP2",1.83696002693273e-10,0.0598909637379714,0.99998585965375,1,0.33,0.643564356435644,0.95952380952381,0.777777777777778,0.929752066115703
"SCIN",2.93746389495382e-18,0.245610633573988,0.999995245812108,1,0.33,0.920792079207921,0.995238095238095,0.950617283950617,0.991735537190083
"C4orf33",8.37223070680991e-08,0.0345864546241831,0.999981529723379,0,0,0.608910891089109,0.957142857142857,0.756172839506173,0.925619834710744
"GAPT",2.0580008237649e-05,0.0261032349767518,0.999984111822182,0,0,0.336633663366337,0.932142857142857,0.58641975308642,0.882231404958678
"BRF1",0.000484256674051891,0.0101231423274796,0.999968884571047,0,0,0.264851485148515,0.883928571428571,0.541666666666667,0.798553719008264
"NEDD1",4.1109207618523e-12,0.0356973095022866,0.999969759443209,0,0,0.792079207920792,0.951190476190476,0.87037037037037,0.915289256198347
"ZNF485",0.00196460904781938,0.0080394153332973,0.999967935276716,0,0,0.520721357850071,0.701190476190476,0.814814814814815,0.481404958677686
"WDR17",0.00750431980491532,0.00902441835582484,0.999978357518503,1,0.33,0.373691654879774,0.609523809523809,0.827160493827161,0.322314049586777
"MFSD6L",0.0250757214778858,0.00353863507438309,0.999956026866745,1,0.33,0.180834512022631,0.489285714285714,0.75,0.113636363636364
"ADAMTSL1",3.0906281459096e-13,0.0830557034359749,0.999987088696998,1,0.33,0.782178217821782,0.963690476190476,0.864197530864198,0.93698347107438
"GAMT",0.000669048720928023,0.0131031774413872,0.999977653913869,0,0,0.584158415841584,0.819047619047619,0.740740740740741,0.685950413223141
"PLCD3",1.14775406147121e-15,0.136413956182325,0.999991319671791,1,0.33,0.910891089108911,0.992857142857143,0.944444444444444,0.987603305785124
