"Gene","logFC_Condition","adjP_Condition","logFC_Platform","Ec","Ep","Em","Es","Ex","AUC_Microarray","AUC_RNAseq","BIOS_Rank"
"CA7",-5.29921811780072,1.11764815614533e-28,1.8550528238231e-15,1,0.999999100854917,1,1,0.978853427043293,0.954346466541589,0.996913580246914,0.995770505579642
"BEST4",-5.03563433107118,1.11764815614533e-28,4.23375419250917e-16,0.950259872140828,0.999998883255012,1,1,0.962158764182734,0.944965603502189,1,0.982483503915715
"GUCA2B",-6.11981879869343,3.60724430292192e-22,-1.39268230016749e-15,0.885932452463052,0.999999658281313,1,1,0.968836629326958,0.948717948717949,0.95679012345679,0.970953748014264
"KRT80",4.87812066687439,1.11764815614533e-28,-1.06958000652863e-15,0.920535927834824,0.99999874199556,1,1,0.906303781031978,0.974358974358974,0.91358024691358,0.965367690172472
"SPIB",-4.19423458864724,6.00592601001578e-29,2.00546251224118e-15,0.7991193320807,0.999998005645229,1,1,0.99610457866587,0.964040025015635,0.993827160493827,0.95904438327836
"CA1",-6.76170408924317,1.41708152223472e-19,3.81037877325825e-15,0.86042978409267,1,1,1,0.933767531972341,0.936210131332083,0.929012345679012,0.958839463213002
"TMIGD1",-6.23170587176876,2.12113132846054e-20,2.58481834911086e-15,0.827688922070279,0.999999722912245,1,1,0.922091573317394,0.92245153220763,0.929012345679012,0.949956043659984
"OTOP2",-4.48188476889084,7.11537423201466e-27,-9.58165422515232e-16,0.791181157309967,0.999998342744041,1,1,0.951028988942362,0.938711694809256,0.996913580246914,0.948441697799274
"AQP8",-5.74487513645585,3.95900551847255e-21,2.62938418271622e-15,0.79130189307029,0.999999423343519,1,1,0.925430505889506,0.92432770481551,0.941358024691358,0.943346364460663
"CLCA4",-6.08748170667646,5.94218768401335e-19,2.74079876672962e-15,0.749049244579926,0.999999639159422,1,1,0.908735843028948,0.91494684177611,0.959876543209877,0.931556945353659
"MYOC",-4.40215447990914,9.54226051786691e-22,4.45658336053596e-17,0.62471977400944,0.999998253720814,1,1,0.878840030091615,0.937773608505316,0.898148148148148,0.900711611564374
"KRT24",-3.63946835634271,1.76139754185232e-22,-2.0945941794519e-15,0.534515097294287,0.999997205027315,1,1,0.878840030091615,0.955597248280175,0.898148148148148,0.882670466482643
"INHBA",3.06926617464194,4.19101375452269e-18,-3.03047668516446e-15,0.360086159572957,0.999996080519999,1,1,0.916526685697208,0.919324577861163,0.953703703703704,0.855321785158033
"WNT2",2.92753057148177,1.71979217455646e-18,-3.34243752040197e-16,0.35110342991311,0.999995733024789,1,1,0.917639663221246,0.919949968730457,0.959876543209877,0.853747765231829
"ESM1",2.94705309000668,7.78859055334457e-18,8.69033755304513e-16,0.340393293492037,0.999995782873311,1,1,0.915413708173171,0.91869918699187,0.932098765432099,0.851160556907704
"ETV4",4.72649497726871,6.00592601001578e-29,2.74079876672962e-15,0.900529865341421,0.99999859712269,1,0.33,0.939260282160413,0.974358974358974,0.932098765432099,0.833957748924905
"MMP7",5.93680482328901,1.6320208907371e-22,-1.9831795954385e-15,0.873244239809268,0.99999954731301,1,0.33,0.922782031596195,0.963727329580988,0.922839506172839,0.825205163743695
"CLDN1",4.36455536525949,3.29401772334037e-27,1.24784334095007e-15,0.780324674817549,0.999998210610782,1,0.33,0.950245782536558,0.951219512195122,0.938271604938272,0.812113733592978
"MMP1",3.12477775171192,3.81400837220108e-13,-3.67668127244217e-15,0.261982614434336,0.999996208027506,1,1,0.765161742428146,0.834271419637273,0.935185185185185,0.805428112977998
"GUCA2A",-5.56005215393201,1.91585611931074e-20,-1.53195053018424e-15,0.740139857270671,0.999999295875122,1,0.33,0.939260282160413,0.944340212632896,0.932098765432099,0.801879887061241
"EPHX4",3.98969847105228,3.06185398405777e-26,-8.96887401307863e-16,0.687224995325356,0.999997736378207,1,0.33,0.972216783288849,0.970606629143214,0.950617283950617,0.797887902998482
"CDH3",4.421391088322,1.33608423017037e-23,-1.33697500816079e-16,0.682785454019349,0.999998275493413,1,0.33,0.900811030843905,0.953721075672295,0.910493827160494,0.782718952071334
"GRIN2D",4.00158098396294,4.0639279201442e-24,-3.59312033443212e-16,0.631919066751609,0.999997752774388,1,0.33,0.950245782536558,0.942464040025016,0.938271604938272,0.782432520412511
"FOXQ1",4.39792283513655,1.34783995563328e-24,-4.94680753019492e-15,0.708739538781748,0.999998248905723,1,0.33,0.867854529715469,0.971857410881801,0.891975308641975,0.781318463480588
"CA2",-4.67599888118665,7.753980585108e-21,1.16985313214069e-15,0.634858283667864,0.999998546790003,1,0.33,0.922782031596195,0.948717948717949,0.922839506172839,0.777527772410812
"SLC4A4",-4.84843376529427,7.06597237141544e-20,5.57072920066996e-16,0.626857868390429,0.999998714344178,1,0.33,0.917289281408123,0.956848030018762,0.919753086419753,0.774829172828546
"CA4",-5.16173457843014,5.58860969143396e-18,1.44281886297352e-15,0.601219006576005,0.99999899012901,1,0.33,0.91207477560106,0.91682301438399,0.959876543209877,0.768658554461215
"CLDN2",5.3477688539661,9.34140823851437e-20,-3.17531564438187e-15,0.687040062798945,0.999999138596256,1,0.33,0.818419778022816,0.944965603502189,0.864197530864197,0.767091795883603
"MS4A12",-5.74463874452744,1.60305001892351e-16,-3.56526668842877e-16,0.612581484170782,0.999999423185732,1,0.33,0.888702247596278,0.903689806128831,0.91358024691358,0.766256630990558
"SCGN",-4.03136306445497,8.14388865143368e-24,-1.11414584013399e-15,0.628405904059239,0.999997793444692,1,0.33,0.856869029339324,0.9906191369606,0.885802469135803,0.763054545368651
"BMP3",-4.68023513109378,2.98120129738734e-20,2.8744962675457e-15,0.616953327744379,0.999998551054271,1,0.33,0.851376279151252,0.921200750469043,0.882716049382716,0.75966563158998
"SCARA5",-3.40427387608115,1.65390666528848e-22,1.62665292659563e-15,0.500601463069741,0.999996786840241,1,0.33,0.950245782536558,0.956848030018762,0.938271604938272,0.756168806489308
"GLP2R",-2.47411472339829,1.28956301771004e-27,-1.06958000652863e-15,0.449141872576277,0.999994353970795,1,0.33,1,0.966228893058161,0.981481481481482,0.755827245309414
"OTOP3",-1.65206064280706,1.03182173267741e-13,8.57892296903173e-16,0.144842049613139,0.999989923393658,1,1,0.632717417067716,0.75984990619137,1,0.755509878014903
"SLC26A2",-4.05233197929129,4.86560626896849e-19,1.21441896574605e-15,0.501004147847501,0.999997821721148,1,0.33,0.920978595793357,0.921826141338336,0.941358024691358,0.750396113072401
"SLC17A4",-3.22342560376351,4.10987575301088e-21,1.29240917455543e-15,0.443642738853966,0.999996423780473,1,0.33,0.975514494471181,0.952470293933709,0.953703703703704,0.749830731421124
"SULT1A2",-2.34893159586897,3.29401772334037e-27,-7.59847462971382e-15,0.41995784914951,0.999993879443213,1,0.33,0.994187784041139,0.966854283927455,0.962962962962963,0.748827902526772
"C2CD4A",4.07307091832884,6.39002680298916e-21,-6.23921670475035e-16,0.55530946558572,0.99999784940111,1,0.33,0.856869029339324,0.942464040025016,0.885802469135802,0.748435268865231
"HPGD",-3.15128672868686,3.60724430292192e-22,1.79377480261573e-15,0.456194418781878,0.999996267332586,1,0.33,0.950245782536558,0.958724202626642,0.938271604938272,0.747287293730204
"SLC26A3",-4.54912947668085,3.09775084354245e-16,3.58197887603078e-15,0.476311261128888,0.999998415400633,1,0.33,0.929882415985655,0.926829268292683,0.949074074074074,0.747238418503035
"RERGL",-3.48336829633198,5.42021531871022e-21,1.42610667537151e-15,0.476592425659164,0.99999693377613,1,0.33,0.928274781784268,0.937460913070669,0.925925925925926,0.746972828243912
"ABCG2",-2.83881236104098,1.34783995563328e-24,-3.67668127244217e-16,0.457483825627175,0.999995497855551,1,0.33,0.945464101322176,0.935584740462789,0.972222222222222,0.746588684960981
