"Setting","Kind","w_Ec","w_Ep","w_Em","w_Es","w_Ex","k","MinMedian_cross_assay","Median_AUC_Microarray","Median_AUC_RNAseq","Jaccard_vs_equal","Delta_vs_full"
"BIOS_equal_weights","full",0.2,0.2,0.2,0.2,0.2,20,0.923583605494175,0.941525953721076,0.936728395061728,1,0
"LOO_drop_Ec","leave_one_out",0,0.25,0.25,0.25,0.25,20,0.921200750469043,0.936991869918699,0.955246913580247,0.666666666666667,-0.00238285502513103
"LOO_drop_Ep","leave_one_out",0.25,0,0.25,0.25,0.25,20,0.923583605494175,0.941525953721076,0.936728395061728,1,0
"LOO_drop_Em","leave_one_out",0.25,0.25,0,0.25,0.25,20,0.923583605494175,0.941525953721076,0.936728395061728,1,0
"LOO_drop_Es","leave_one_out",0.25,0.25,0.25,0,0.25,20,0.930555555555556,0.949968730456536,0.935185185185186,0.538461538461538,0.00697195006138107
"LOO_drop_Ex","leave_one_out",0.25,0.25,0.25,0.25,0,20,0.922645519190235,0.938242651657286,0.939814814814815,0.904761904761905,-0.000938086303939989
"ONLY_Ec","single_channel",1,0,0,0,0,20,0.930555555555556,0.948717948717949,0.935185185185186,0.538461538461538,0.00697195006138107
"ONLY_Ep","single_channel",0,1,0,0,0,20,0.918288050401872,0.930268918073796,0.925925925925926,0.333333333333333,-0.00529555509230295
"ONLY_Em","single_channel",0,0,1,0,0,20,0.938491649873764,0.954033771106942,0.949074074074074,0.212121212121212,0.0149080443795895
"ONLY_Es","single_channel",0,0,0,1,0,20,0.91963727329581,0.930268918073796,0.938271604938272,0.739130434782609,-0.00394633219836449
"ONLY_Ex","single_channel",0,0,0,0,1,20,0.949968730456536,0.950906816760476,0.953703703703704,0.111111111111111,0.026385124962361
"Merged_limma_topk","baseline",NA,NA,NA,NA,NA,20,0.883487654320988,0.966541588492808,0.883487654320988,0.0526315789473684,-0.040095951173187
"Random_matched_k","baseline",NA,NA,NA,NA,NA,20,0.719135802469135,0.789868667917448,0.759259259259259,0,-0.204447803025039
"BIOS_best_Dirichlet","weight_search",0.0179272169610144,0.331740528555814,0.0869521640224859,0.025167790167887,0.538212300292798,20,0.944705023973317,0.950906816760476,0.952160493827161,0.379310344827586,0.0211214184791421
"BOOST_Ec_a0.4","weight_boost",0.4,0.15,0.15,0.15,0.15,20,0.926670025247261,0.949968730456536,0.932098765432099,0.666666666666667,0.00308641975308654
"BOOST_Ec_a0.6","weight_boost",0.6,0.1,0.1,0.1,0.1,20,0.926670025247261,0.949968730456536,0.932098765432099,0.666666666666667,0.00308641975308654
"BOOST_Ec_a0.8","weight_boost",0.8,0.05,0.05,0.05,0.05,20,0.930555555555556,0.946841776110069,0.935185185185186,0.6,0.00697195006138107
"BOOST_Ep_a0.4","weight_boost",0.15,0.4,0.15,0.15,0.15,20,0.923583605494175,0.941525953721076,0.936728395061728,1,0
"BOOST_Ep_a0.6","weight_boost",0.1,0.6,0.1,0.1,0.1,20,0.923583605494175,0.941525953721076,0.936728395061728,1,0
"BOOST_Ep_a0.8","weight_boost",0.05,0.8,0.05,0.05,0.05,20,0.923583605494175,0.941525953721076,0.936728395061728,1,0
"BOOST_Em_a0.4","weight_boost",0.15,0.15,0.4,0.15,0.15,20,0.923583605494175,0.941525953721076,0.936728395061728,1,0
"BOOST_Em_a0.6","weight_boost",0.1,0.1,0.6,0.1,0.1,20,0.923583605494175,0.941525953721076,0.936728395061728,1,0
"BOOST_Em_a0.8","weight_boost",0.05,0.05,0.8,0.05,0.05,20,0.923583605494175,0.941525953721076,0.936728395061728,1,0
"BOOST_Es_a0.4","weight_boost",0.15,0.15,0.15,0.4,0.15,20,0.91963727329581,0.930268918073796,0.938271604938272,0.739130434782609,-0.00394633219836449
"BOOST_Es_a0.6","weight_boost",0.1,0.1,0.1,0.6,0.1,20,0.91963727329581,0.930268918073796,0.938271604938272,0.739130434782609,-0.00394633219836449
"BOOST_Es_a0.8","weight_boost",0.05,0.05,0.05,0.8,0.05,20,0.91963727329581,0.930268918073796,0.938271604938272,0.739130434782609,-0.00394633219836449
"BOOST_Ex_a0.4","weight_boost",0.15,0.15,0.15,0.15,0.4,20,0.926670025247261,0.944652908067543,0.939814814814815,0.904761904761905,0.00308641975308654
"BOOST_Ex_a0.6","weight_boost",0.1,0.1,0.1,0.1,0.6,20,0.926670025247261,0.946841776110069,0.945987654320988,0.818181818181818,0.00308641975308654
"BOOST_Ex_a0.8","weight_boost",0.05,0.05,0.05,0.05,0.8,20,0.941838649155722,0.949968730456536,0.953703703703704,0.481481481481481,0.018255043661548
