"Signature","Panel_size_requested","Panel_size_used","Median_gene_AUC_train","Median_gene_AUC_external","Panel_AUC_RF_external","Panel_AUC_RF_CI95_lo","Panel_AUC_RF_CI95_hi","NestedCV_AUC_RF_train","Panel_AUC_glmnet_external","Panel_AUPRC_glmnet_external","Panel_AUC_glmnet_CI95_lo","Panel_AUC_glmnet_CI95_hi","NestedCV_AUC_glmnet_train"
"B0_limma_top50",50,50,0.947530864197531,0.98,1,1,1,0.987654320987654,1,1,1,1,0.969135802469136
"B1_limma_voom_top50",50,50,0.936728395061728,0.95,1,1,1,0.978395061728395,0.98,0.983333333333333,0.894270833333333,1,0.990740740740741
"B0k_limma_matched_k",20,20,0.959876543209877,0.97,1,1,1,0.993827160493827,1,1,1,1,0.993827160493827
"B1k_limma_voom_matched_k",20,20,0.955246913580247,0.965,1,1,1,0.993827160493827,0.98,0.983333333333333,0.894270833333333,1,0.969135802469136
"B3_DE_intersect_WGCNA",200,200,0.876543209876543,0.93,1,1,1,0.975308641975309,1,1,1,1,0.981481481481482
"B4_DE_ML_true",20,20,0.958333333333333,0.98,1,1,1,0.987654320987654,0.98,0.983333333333333,0.894270833333333,1,0.993827160493827
"B4leg_ML_after_WGCNA",20,20,0.947530864197531,0.98,1,1,1,0.990740740740741,0.98,0.983333333333333,0.894270833333333,1,0.962962962962963
"B5_full_consensus",20,20,0.947530864197531,0.98,1,1,1,0.990740740740741,0.98,0.983333333333333,0.894270833333333,1,0.962962962962963
"B6_random_matched_size",20,20,0.577160493827161,0.695,0.87,0.518878787878788,1,0.891975308641975,1,1,1,1,0.824074074074074
"B2_all_DEGs_limma_sig_SIZE_ONLY",7051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B3_DE_intersect_WGCNA_FULL_SIZE",2479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
