"Gene","logFC_Condition","adjP_Condition","logFC_Platform","Ec","Ep","Em","Es","BIOS_Rank"
"GUCA2B",-5.84462352425445,3.24142171134915e-42,0.27683193304525,1,0.954802367387775,1,1,0.988700591846944
"CDH3",5.11416961609627,3.91706238415962e-48,0.311204706587612,0.999828899439989,0.94266408756384,1,1,0.985623246750957
"INHBA",3.88038526611182,1.76727924793474e-46,-0.176280887735448,0.732148620755628,0.956570963675296,1,1,0.922179896107731
"GUCA2A",-4.80031684937199,3.50983203850876e-36,-0.549562904630253,0.70186180567514,0.897298775298034,1,1,0.899790145243294
"CLCA4",-6.19732517489299,7.69942772288463e-28,1.00520541077153,0.692944186395821,0.860458787839551,1,1,0.888350743558843
"EPHX4",3.74305125200657,1.78012940118522e-40,-0.484208777224202,0.61357223038949,0.885478220226587,1,1,0.874762612654019
"GCG",-5.07024135183654,3.28720046298717e-28,-0.432268932930555,0.574649773827105,0.921465657949533,1,1,0.87402885794416
"CLDN1",3.48111924331417,4.73610093428334e-47,-0.764129468234121,0.665025202776701,0.820023402768048,1,1,0.871262151386187
"MS4A12",-5.43012677589356,4.9310957741577e-26,0.523795266731603,0.566707979209577,0.912048938600527,1,1,0.869689229452526
"PLP1",-3.88755260238743,5.49351712901766e-37,0.462323292758549,0.581317760455691,0.893738683682146,1,1,0.868764111034459
"ESM1",3.15186242882572,9.45432612834121e-39,0.117789623668139,0.494238982259625,0.964000717205119,1,1,0.864559924866186
"SLC30A10",-4.23714964963775,8.05610069005922e-36,0.845898330532238,0.613215115989812,0.8336048368998,1,1,0.861704988222403
"ZG16",-5.42494139315844,1.24380390791802e-24,0.606564093306046,0.534805701428445,0.899457280747244,1,1,0.858565745543922
"CA2",-4.42650587079917,5.35809740708327e-28,0.31258149756367,0.497816929446551,0.93406649916375,1,1,0.857970857152575
"CEMIP",3.41508483489153,9.94962817679953e-43,0.724776907515427,0.591536009107604,0.824947270298108,1,1,0.854120819851428
"MYOT",-3.51395664705262,8.42252073743143e-34,-0.246601178952193,0.479289781357838,0.934448935937265,1,1,0.853434679323776
"OGN",-3.74881385754436,6.30621084615547e-28,-0.0596680401242538,0.420507939333604,0.984359601903413,1,1,0.851216885309254
"CA4",-4.52972993025504,2.5817637716137e-30,0.788975007258767,0.552709421647633,0.851681499454691,1,1,0.851097730275581
"AQP8",-5.53470947959001,1.60457824876946e-28,1.72309084543777,0.634400609279142,0.762605166901769,1,1,0.849251444045228
"MT1M",-4.63854114465504,6.10518769150571e-28,-0.667536302901277,0.52057861007415,0.87421615456586,1,1,0.848698691160003
