"Gene","logFC_Condition","adjP_Condition","logFC_Platform","Ec","Ep","Em","Es","BIOS_Rank"
"CDH3",1.67898567543663,3.04020834915513e-32,0.331000033157508,1,1,1,1,1
"TEAD4",1.62834503784734,3.71737327516456e-30,0.321016593175619,0.905607514488274,0.999999984173393,1,1,0.976401874665417
"INHBA",1.60770943118002,2.15322193892305e-29,0.316948430718347,0.870954096498995,0.999999977438274,1,1,0.967738518484317
"CLDN1",1.6033393438615,2.53812460518801e-29,0.316086899218411,0.866422562974425,0.999999975989705,1,1,0.966605634741032
"CEMIP",1.59160732350767,6.76903879237999e-29,0.313774015205798,0.847269272817,0.999999972061505,1,1,0.961817311219626
"FOXQ1",1.58538847336604,1.06181955215142e-28,0.312548013320734,0.838100857515459,0.999999969955689,1,1,0.959525206867787
"CA7",-1.57765550210643,1.98752292777227e-28,-0.311023513272412,0.825895715644234,0.999999967314006,1,1,0.95647392073956
"SPIB",-1.57220093098648,2.77702069830909e-28,-0.309948183537334,0.818724268724684,0.999999965435025,1,1,0.954681058539927
"AJUBA",1.57181606073133,2.77702069830909e-28,0.309872309115604,0.818523847384134,0.999999965301954,1,1,0.954630953171522
"GUCA2B",-1.56634987099061,4.311473163468e-28,-0.308794688852434,0.810022297993528,0.999999963404914,1,1,0.952505565349611
"S100A11",1.56090505978607,6.72704749570124e-28,0.307721283214968,0.80150771122689,0.999999961502086,1,1,0.950376918182244
"ETV4",1.55172854297736,1.52237987075305e-27,0.30591219847268,0.786394505771866,0.9999999582649,1,1,0.946598616009191
"BEST4",-1.55015246898308,1.63986573045728e-27,-0.305601486742378,0.784650003463069,0.999999957705054,1,1,0.946162490292031
"CSE1L",1.54769415467767,1.92212954997169e-27,0.305116847636454,0.781388321114393,0.999999956829547,1,1,0.945347069485985
"EPHX4",1.54706297701974,1.92212954997169e-27,0.304992415469606,0.781069656829874,0.999999956604309,1,1,0.945267403358546
"GTF2IRD1",1.54582227395552,2.03374667963216e-27,0.30474781972266,0.779727142667671,0.999999956161025,1,1,0.944931774707174
"LIFR",-1.54387515229224,2.31363849262302e-27,-0.304363958594757,0.777111205391374,0.999999955463912,1,1,0.944277790213821
"ABCA8",-1.54241213501428,2.51898200977089e-27,-0.304075535188531,0.775298374903864,0.99999995493896,1,1,0.943824582460706
"GCNT2",-1.53948794032665,3.16884795743692e-27,-0.303499051092968,0.770928671600551,0.999999953886728,1,1,0.94273215637182
"VSTM2A",-1.53113092422919,6.73922782706499e-27,-0.301851525062326,0.75726157523056,0.999999950857411,1,1,0.939315381521993
