"Gene","BIOS_v2","Ec","Ep","Em","Es","Ex_train","adjP"
"GUCA2B",0.989531221452781,NA,NA,1,1,NA,3.24142171134915e-42
"CDH3",0.985449526414582,NA,NA,1,1,NA,3.91706238415962e-48
"INHBA",0.936219381393093,NA,NA,1,1,NA,1.76727924793474e-46
"GUCA2A",0.916147822086329,NA,NA,1,1,NA,3.50983203850876e-36
"CLCA4",0.900008846395431,NA,NA,1,1,NA,7.69942772288463e-28
"EPHX4",0.893711948150848,NA,NA,1,1,NA,1.78012940118522e-40
"CLDN1",0.893357188156751,NA,NA,1,1,NA,4.73610093428334e-47
"GCG",0.891473364265444,NA,NA,1,1,NA,3.28720046298717e-28
"PLP1",0.889770698070064,NA,NA,1,1,NA,5.49351712901766e-37
"ESM1",0.888900599889773,NA,NA,1,1,NA,9.45432612834121e-39
"MS4A12",0.88473026239321,NA,NA,1,1,NA,4.9310957741577e-26
"CEMIP",0.882439104666278,NA,NA,1,1,NA,9.94962817679953e-43
"SLC30A10",0.881804835424675,NA,NA,1,1,NA,8.05610069005922e-36
"MYOT",0.879317538599564,NA,NA,1,1,NA,8.42252073743143e-34
"CA2",0.878722247100494,NA,NA,1,1,NA,5.35809740708327e-28
"ZG16",0.877371891337472,NA,NA,1,1,NA,1.24380390791802e-24
"CA4",0.872000941088815,NA,NA,1,1,NA,2.5817637716137e-30
"MT1M",0.871542722977232,NA,NA,1,1,NA,6.10518769150571e-28
"OGN",0.871318116791154,NA,NA,1,1,NA,6.30621084615547e-28
"FOXQ1",0.869511923641554,NA,NA,1,1,NA,1.7114619619201e-44
