"Scenario","Method","n_rep","n_called_mean","n_called_sd","TP_mean","TP_sd","FP_mean","FP_sd","FN_mean","FN_sd","Sensitivity_mean","Sensitivity_sd","FDR_mean","FDR_sd","Precision_mean","Precision_sd","n_sep_A_mean","n_sep_A_sd","n_sep_B_mean","n_sep_B_sd","Jaccard_vs_intersect_mean","Jaccard_vs_intersect_sd","n_only_in_joint_vs_intersect_mean","n_only_in_joint_vs_intersect_sd","TP_only_in_joint_vs_intersect_mean","TP_only_in_joint_vs_intersect_sd","n_only_in_intersect_vs_joint_mean","n_only_in_intersect_vs_joint_sd","TP_only_in_intersect_vs_joint_mean","TP_only_in_intersect_vs_joint_sd"
"balanced","Separate_intersect",50,26.36,4.13921021747988,26.36,4.13921021747988,0,0,73.64,4.13921021747988,0.2636,0.0413921021747988,0,0,1,0,42.26,5.07016080733589,42.64,5.68118987249563,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"balanced","Separate_union",50,58.54,4.88734308689083,57.08,4.65038949433051,1.46,1.16426380347481,42.92,4.65038949433051,0.5708,0.0465038949433051,0.0245365110018201,0.0191326826820586,0.97546348899818,0.0191326826820586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"balanced","Joint_Condition_only_harmonized",50,91.46,4.24365071943621,87.68,3.47257476668308,3.78,2.19730818623745,12.32,3.47257476668308,0.8768,0.0347257476668308,0.0407850583309366,0.02281078238854,0.959214941669063,0.02281078238854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"balanced","Joint_Condition_Platform_harmonized",50,90.44,4.44081257502843,86.96,3.81704020392337,3.48,2.03279238929094,13.04,3.81704020392337,0.8696,0.0381704020392337,0.0380120429545512,0.0214116206486015,0.961987957045449,0.0214116206486015,NA,NA,NA,NA,0.292293896518986,0.0489868297039595,64.08,6.26568236588834,60.6,5.46230122694433,0,0,0,0
"balanced","Joint_Condition_only_raw",50,3.82,3.94187358332796,3.82,3.94187358332796,0,0,96.18,3.94187358332796,0.0382,0.0394187358332796,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"balanced","Joint_Condition_Platform_raw",50,95.62,3.5736564479764,90.82,2.62398668488409,4.8,2.2314999074019,9.18,2.62398668488409,0.9082,0.0262398668488409,0.0496883298702545,0.0222510152891598,0.950311670129745,0.0222510152891598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"confounded","Separate_intersect",50,2.54,2.61245056588324,2.54,2.61245056588324,0,0,97.46,2.61245056588324,0.0254,0.0261245056588324,0,0,1,0,11.04,7.41746422372256,12,8.00255061380624,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"confounded","Separate_union",50,20.5,9.96166120070097,20.04,9.62344076954277,0.46,0.705951377177476,79.96,9.62344076954277,0.2004,0.0962344076954277,0.0177544707354056,0.0264615226200295,0.982245529264594,0.0264615226200295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"confounded","Joint_Condition_only_harmonized",50,32.84,5.62559747393781,32.82,5.61226790347789,0.02,0.14142135623731,67.18,5.61226790347789,0.3282,0.0561226790347789,0.000540540540540541,0.00382219881722458,0.999459459459459,0.00382219881722457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"confounded","Joint_Condition_Platform_harmonized",50,69.94,5.98777666481935,67.18,5.46861173294597,2.76,1.59795788046966,32.82,5.46861173294597,0.6718,0.0546861173294597,0.0389083608104411,0.0215037643332518,0.961091639189559,0.0215037643332518,NA,NA,NA,NA,0.0360471716721943,0.0368819047087873,67.4,6.00679886903675,64.64,5.67040292992968,0,0,0,0
"confounded","Joint_Condition_only_raw",50,1975.98,4.78300563005553,76.02,4.74014552433116,1899.96,0.197948663722157,23.98,4.74014552433116,0.7602,0.0474014552433116,0.961533417749507,0.00230671867496191,0.0384665822504927,0.00230671867496191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"confounded","Joint_Condition_Platform_raw",50,77.58,4.95320963762748,73.56,4.11646767538007,4.02,1.99478913007601,26.44,4.11646767538007,0.7356,0.0411646767538007,0.0511260245603195,0.0235021686275197,0.948873975439681,0.0235021686275197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
